pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,53.4808,-2.2426,,route_0,320.716,21215.18,319.72,457.042,54.42,True
0,51.5074,-0.1278,53.4808,-2.2426,,route_1,345.399,23694.93,352.09,501.742,52.48,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_2,348.909,24128.87,359.04,511.81,52.06,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_3,351.439,24246.53,359.39,511.863,52.18,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_4,353.893,24622.52,363.78,517.724,51.74,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_5,351.369,24831.01,365.04,518.935,50.94,False
