route_id,selected,distance_km,duration_s,monetary_cost,emissions_kg
route_0,True,69.854,5162.25,74.88,106.123
route_1,False,70.69,5681.7,80.07,112.717
route_2,False,71.258,5745.84,79.67,111.708
route_3,False,73.075,5794.5,81.75,115.103
route_4,False,76.608,6463.17,89.66,125.735
route_5,False,78.997,6743.17,91.08,126.884
