variant_id,pipeline_mode,row_count,failure_count,success_count,success_rate,artifact_complete_rate,route_evidence_ok_rate,certified_rate,certified_denominator,dominance_win_rate_osrm,dominance_denominator_osrm,dominance_win_rate_ors,dominance_denominator_ors,dominance_win_rate_v0,dominance_denominator_v0,runtime_win_rate_v0,runtime_denominator_v0,algorithm_runtime_win_rate_v0,algorithm_runtime_denominator_v0,dominance_win_rate_best_baseline,dominance_denominator_best_baseline,weighted_win_rate_osrm,weighted_denominator_osrm,weighted_win_rate_ors,weighted_denominator_ors,weighted_win_rate_v0,weighted_denominator_v0,weighted_win_rate_best_baseline,weighted_denominator_best_baseline,balanced_win_rate_osrm,balanced_denominator_osrm,balanced_win_rate_ors,balanced_denominator_ors,balanced_win_rate_v0,balanced_denominator_v0,balanced_win_rate_best_baseline,balanced_denominator_best_baseline,robust_win_rate_osrm,robust_denominator_osrm,robust_win_rate_ors,robust_denominator_ors,mean_certificate,mean_certificate_denominator,mean_frontier_hypervolume,mean_frontier_hypervolume_denominator,mean_frontier_coverage_osrm,mean_frontier_coverage_ors,mean_frontier_count,nontrivial_frontier_rate,mean_frontier_diversity_index,mean_frontier_entropy,mean_od_ambiguity_index,mean_od_ambiguity_confidence,mean_od_ambiguity_source_count,mean_od_ambiguity_source_mix_count,mean_od_ambiguity_source_support_strength,mean_od_ambiguity_source_entropy,mean_od_ambiguity_support_ratio,mean_od_ambiguity_prior_strength,mean_od_ambiguity_family_density,mean_od_ambiguity_margin_pressure,mean_od_ambiguity_spread_pressure,mean_od_engine_disagreement_prior,mean_od_hard_case_prior,mean_ambiguity_budget_prior,mean_ambiguity_budget_prior_gap,budget_prior_exceeds_raw_rate,upstream_nonzero_od_ambiguity_rate,upstream_high_hard_case_prior_rate,mean_observed_ambiguity_index,mean_ambiguity_alignment,ambiguity_prior_realized_correlation,mean_nominal_winner_margin,mean_near_tie_mass,mean_certificate_margin,mean_certificate_runner_up_gap,mean_fragility_entropy,mean_competitor_turnover_rate,mean_hard_case_rate,mean_hard_case_certificate,mean_hard_case_runtime_ms,mean_hard_case_frontier_diversity_index,mean_hard_case_action_efficiency,mean_hard_case_search_budget_utilization,mean_hard_case_evidence_budget_utilization,mean_hard_case_controller_engagement_rate,mean_certificate_gap_ambiguity_vs_representative,mean_runtime_gap_ambiguity_vs_representative_ms,mean_dccs_dc_yield_gap_ambiguity_vs_representative,mean_time_to_best_gap_ambiguity_vs_representative,mean_search_budget_utilization_gap_ambiguity_vs_representative,mean_evidence_budget_utilization_gap_ambiguity_vs_representative,certificate_selectivity_rate,certificate_selectivity_denominator,productive_voi_action_rate,productive_voi_action_denominator,zero_lift_controller_action_rate,mean_initial_refc_top_vor,mean_initial_refc_top_vor_denominator,mean_final_refc_top_vor,mean_final_refc_top_vor_denominator,mean_initial_winner_fragility_mass,mean_initial_winner_fragility_mass_denominator,mean_final_winner_fragility_mass,mean_final_winner_fragility_mass_denominator,initial_winner_fragility_nonzero_rate,initial_winner_fragility_nonzero_denominator,winner_fragility_nonzero_rate,winner_fragility_nonzero_denominator,initial_refc_top_vor_positive_rate,initial_refc_top_vor_positive_denominator,refc_top_vor_positive_rate,refc_top_vor_positive_denominator,refresh_signal_persistence_rate,refresh_signal_persistence_denominator,refresh_first_productive_rate,refresh_first_productive_denominator,refresh_resolution_honesty_rate,refresh_resolution_honesty_denominator,mean_controller_cost_per_certificate_point,mean_top_refresh_gain,mean_top_refresh_gain_denominator,mean_top_fragility_mass,mean_top_fragility_mass_denominator,mean_competitor_pressure,mean_competitor_pressure_denominator,mean_route_improvement_per_second,ambiguity_prior_top_k_precision,ambiguity_prior_top_k_precision_k,ambiguity_prior_top_k_precision_denominator,ambiguity_prior_overtrigger_rate,mean_dccs_frontier_recall_at_budget,mean_dccs_corridor_family_recall,mean_voi_realized_certificate_lift,mean_voi_realized_runner_up_gap_lift,mean_voi_realized_margin_lift,mean_time_to_best_iteration,mean_action_efficiency,refine_cost_prediction_error_deprecated,refine_cost_mape,refine_cost_sample_count,refine_cost_positive_sample_count,refine_cost_zero_observed_count,refine_cost_mae_ms,refine_cost_rank_correlation,mean_runtime_p50_ms,mean_runtime_p90_ms,mean_runtime_p95_ms,mean_algorithm_runtime_p50_ms,mean_algorithm_runtime_p90_ms,mean_algorithm_runtime_p95_ms,mean_baseline_acquisition_runtime_p90_ms,mean_route_request_ms,mean_baseline_osrm_ms,mean_baseline_ors_ms,mean_stage_k_raw_ms,mean_stage_k_raw_graph_search_initial_ms,mean_stage_k_raw_graph_search_retry_ms,mean_stage_k_raw_graph_search_rescue_ms,mean_stage_k_raw_graph_search_supplemental_ms,mean_stage_k_raw_osrm_fallback_ms,mean_stage_dccs_ms,mean_stage_refinement_ms,mean_stage_pareto_ms,mean_stage_refc_ms,mean_stage_voi_ms,mean_runtime_ratio_vs_osrm,mean_runtime_ratio_vs_ors,mean_algorithm_runtime_ratio_vs_osrm,mean_algorithm_runtime_ratio_vs_ors,mean_runtime_gap_vs_osrm_ms,mean_runtime_gap_vs_ors_ms,mean_algorithm_runtime_gap_vs_osrm_ms,mean_algorithm_runtime_gap_vs_ors_ms,mean_row_local_warmup_ms,warmup_amortized_ms,mean_warmup_overhead_share,mean_global_startup_overhead_ms,mean_global_startup_share_of_algorithm,mean_runtime_per_refined_candidate_ms,mean_runtime_per_frontier_member_ms,mean_memory_per_refined_candidate_mb,mean_quality_per_second,mean_frontier_gain_per_ms,mean_certificate_gain_per_world,mean_cache_reuse_ratio,route_state_cache_hit_rate,route_state_cache_hits,route_state_cache_misses,baseline_identity_verified_rate,mean_ambiguity_prior_gap,realized_diversity_collapse_rate,supplemental_challenger_activation_rate,mean_supplemental_challenger_selected_count,selected_from_supplemental_rescue_rate,selected_from_comparator_engine_rate,preemptive_comparator_activation_rate,mean_preemptive_comparator_candidate_count,selected_from_preemptive_comparator_seed_rate,mean_controller_value_per_second,mean_refc_shortcut_rate,mean_refc_cache_hits,mean_refc_unique_world_count,mean_refc_world_reuse_rate,mean_refc_hard_stress_pack_count,mean_refc_stress_world_fraction,mean_requested_cert_world_count,mean_effective_cert_world_count,mean_world_count_efficiency,mean_refc_ms_per_effective_world,mean_stage_supplemental_rescue_ms,mean_stage_preemptive_comparator_seed_ms,mean_backend_ready_wait_ms,mean_route_graph_warmup_elapsed_ms,mean_preflight_ms,mean_preflight_and_warmup_ms,mean_process_rss_mb,mean_process_vms_mb,mean_process_rss_p90_mb,mean_process_vms_p90_mb,mean_route_cache_hit_rate,mean_k_raw_cache_hit_rate,mean_graph_low_ambiguity_fast_path_rate,mean_graph_supported_ambiguity_fast_fallback_rate,controller_activation_on_high_ambiguity_rate,mean_search_budget_utilization_p90,mean_evidence_budget_utilization_p90,mean_voi_action_density,mean_initial_certificate,initial_certificate_stop_rate,unnecessary_voi_refine_rate,mean_stage_option_build_ms,mean_option_build_reuse_rate,mean_option_build_cache_hits,mean_option_build_rebuild_count,mean_option_build_cache_hit_rate,mean_voi_dccs_cache_hit_rate,voi_dccs_cache_hit_rate,voi_dccs_cache_hits,voi_dccs_cache_misses,option_build_cache_savings_ms_per_row,comparator_independence_rate,strict_failure_elimination_rate,mean_search_completeness_score,mean_search_completeness_gap,mean_prior_support_strength,mean_pending_challenger_mass,mean_best_pending_flip_probability,mean_corridor_family_recall,mean_frontier_recall_at_budget,credible_search_uncertainty_rate,credible_evidence_uncertainty_rate,supported_hard_case_rate,evidence_first_engagement_rate,evidence_only_engagement_rate,mean_ambiguity_absolute_error,mean_supported_ambiguity_alignment,mean_time_to_certification_ms,mean_controller_shortcut_rate,mean_voi_stop_after_certification_rate,mean_controller_stress_rate,mean_weighted_margin_gain_vs_v0,mean_balanced_gain_delta_vs_v0_score,mean_duration_gain_vs_v0_s,mean_monetary_gain_vs_v0,mean_emissions_gain_vs_v0_kg,mean_frontier_hypervolume_gain_vs_v0,mean_certificate_lift_vs_v0,mean_hard_case_certificate_lift_vs_v0,mean_weighted_margin_vs_osrm,mean_weighted_margin_vs_ors,mean_weighted_margin_vs_v0,mean_weighted_margin_vs_best_baseline,mean_dccs_dc_yield,mean_dccs_dc_yield_denominator,mean_iteration_count,mean_voi_action_count,mean_voi_refine_action_count,mean_voi_refresh_action_count,mean_voi_resample_action_count,voi_controller_engagement_rate,selector_certificate_disagreement_rate,mean_search_budget_used,mean_evidence_budget_used,mean_search_budget_utilization,mean_evidence_budget_utilization,mean_algorithm_runtime_ms,mean_algorithm_runtime_speedup_vs_v0,mean_runtime_speedup_vs_v0,mean_objective_gain_vs_v0_denominator,mean_certificate_lift_vs_v0_denominator,certificate_availability_gain_vs_v0_rate,mean_baseline_acquisition_runtime_ms,mean_baseline_runtime_share,mean_runtime_ms,mean_runtime_ms_denominator,corpus_kind_counts_json,corpus_group_counts_json,profile_id_counts_json
V0,legacy,8,0,8,1.0,1.0,1.0,,0,0.625,8,0.875,8,0.0,8,0.0,8,0.0,8,0.625,8,0.875,8,1.0,8,0.0,8,0.875,8,1.0,8,1.0,8,0.0,8,1.0,8,,0,,0,,0,274926468.244834,8,0.75,0.875,1.125,0.125,0.0625,0.121369,0.261995,0.893498,2.5,2.5,0.587536,0.838645,0.684809,0.261995,0.477466,0.131682,0.1825,0.399693,0.402663,0.268695,0.0067,0.25,1.0,0.625,0.005,0.735472,-0.697142,1.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0,,0,,,0,,0,,0,,0,0.0,8,0.0,8,0.0,8,0.0,8,,0,,0,,0,,,0,,0,,0,0.561164,0.0,2,2,1.0,,,,,,,,,,0,0,0,,,9537.16,40397.4616,48271.4403,8390.2925,39388.0766,47119.6578,2018.563,17645.7185,724.3875,554.45125,15725.63875,15725.63875,0.0,0.0,0.0,,,,,,,29.775501,36.793501,27.980139,34.273378,18200.16975,18370.106,16921.331,17091.26725,,55109.9825,,440879.86,121.145618,,15700.809938,,0.310882,2e-06,,0.0,,0.0,0.0,1.0,0.264528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,217529.19,222000.0,938.155,441818.015,16609.511231,25373.486328,17558.860547,25472.501953,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,,,,,,,0.0,,,0.264528,0.596515,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.75,0.0,2.375,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17645.7185,0.0,0.0,8,8,0.0,1278.83875,0.209466,18924.55725,8,{},"{""ambiguity"": 8}","{""ambiguity_capital_e"": 1, ""ambiguity_capital_f"": 1, ""ambiguity_corridor_d"": 1, ""ambiguity_longhaul_a"": 1, ""ambiguity_longhaul_h"": 1, ""ambiguity_midhaul_c"": 1, ""ambiguity_northbound_g"": 1, ""ambiguity_shorthaul_b"": 1}"
A,dccs,8,0,8,1.0,1.0,1.0,0.0,8,1.0,8,1.0,8,0.375,8,0.375,8,0.375,8,1.0,8,1.0,8,1.0,8,0.375,8,1.0,8,1.0,8,1.0,8,0.375,8,1.0,8,,0,,0,,0,281111085.844391,8,1.0,1.0,1.125,0.125,0.0625,0.121369,0.261995,0.893498,2.5,2.5,0.587536,0.838645,0.684809,0.261995,0.477466,0.131682,0.1825,0.399693,0.402663,0.268695,0.0067,0.25,1.0,0.625,0.005,0.735472,-0.697142,1.0,0.0,,,,,0.0,,,,,,,,,,,,,,,0,,0,,,0,,0,,0,,0,0.0,8,0.0,8,0.0,8,0.0,8,,0,,0,,0,,,0,,0,,0,0.179283,0.0,2,2,1.0,1.0,1.0,,,,,0.007812,,,41,0,41,192.510389,,19546.6195,79024.67,133394.748,18363.251,77169.145,131935.6505,2018.563,38656.24075,724.3875,554.45125,21079.09625,13304.615,6903.59625,865.2375,0.0,774.055,5.7375,76.79875,0.4725,,,52.926047,136.019539,51.130684,133.499416,39210.692,39380.62825,37931.85325,38101.7895,,55109.9825,,440879.86,26.347462,7291.923563,37586.261063,3586.150505,0.098964,3e-06,,0.0,0.0,0.0,1.0,1.0,0.264528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000456,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,217529.19,222000.0,0.0,440879.86,16744.196289,25358.98584,17663.813672,25455.972656,0.0,0.0,0.125,0.125,,1.0,0.0,,,,,12187.125,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,0.0,,,0.264528,0.596515,,,,0.0,1.125,0.044514,324.1425,4.215,5.814375,6184617.599557,,,3.0,3.0,1.125,3.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125,0.0,0.979167,0.0,38656.24075,-6.597255,-4.159614,8,0,0.0,1278.83875,0.06664,39935.0795,8,{},"{""ambiguity"": 8}","{""ambiguity_capital_e"": 1, ""ambiguity_capital_f"": 1, ""ambiguity_corridor_d"": 1, ""ambiguity_longhaul_a"": 1, ""ambiguity_longhaul_h"": 1, ""ambiguity_midhaul_c"": 1, ""ambiguity_northbound_g"": 1, ""ambiguity_shorthaul_b"": 1}"
B,dccs_refc,8,0,8,1.0,1.0,1.0,1.0,8,1.0,8,1.0,8,0.375,8,0.875,8,0.875,8,1.0,8,1.0,8,1.0,8,0.375,8,1.0,8,1.0,8,1.0,8,0.375,8,1.0,8,,0,,0,1.0,8,281111085.844391,8,1.0,1.0,1.125,0.125,0.0625,0.121369,0.261995,0.893498,2.5,2.5,0.587536,0.838645,0.684809,0.261995,0.477466,0.131682,0.1825,0.399693,0.402663,0.268695,0.0067,0.25,1.0,0.625,0.004167,0.735472,-0.697142,1.0,0.0,0.2,1.0,0.134795,0.004566,0.0,,,,,,,,,,,,,,0.0,8,,0,,0.130952,7,0.130952,7,0.130952,7,0.130952,7,0.125,8,0.125,8,0.125,8,0.125,8,,0,,0,,0,,,0,,0,,0,1.660854,0.0,2,2,1.0,1.0,1.0,,,,,0.050312,,,41,0,41,192.510389,,3359.413,3818.6852,3878.3861,1951.3925,2782.4452,2872.9811,2018.563,2015.96125,724.3875,554.45125,0.2475,0.0,0.0,0.0,0.0,0.0,4.1825,85.43125,0.1575,74.3075,,5.137794,7.536591,3.342431,5.016468,2570.4125,2740.34875,1291.57375,1461.51,,55109.9825,,440879.86,244.079021,424.504875,1936.351437,3590.07015,0.915918,3.7e-05,0.175521,0.0,0.0,0.0,1.0,1.0,0.264528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029973,0.125,0.0,53.125,0.0,46.25,0.787648,80.125,6.875,0.195964,24.057891,,,217529.19,222000.0,0.0,440879.86,16766.853516,25361.922852,17666.529687,25459.371094,0.0,1.0,0.125,0.125,,1.0,0.0,,,,,193.9075,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,,,,,,,,,,0.0,,,0.264528,0.596515,,,,0.0,1.125,0.044514,324.1425,4.215,5.814375,6184617.599557,,,3.0,3.0,1.125,3.0,1.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125,0.0,0.979167,0.0,2015.96125,0.461467,0.435706,8,0,1.0,1278.83875,0.394187,3294.8,8,{},"{""ambiguity"": 8}","{""ambiguity_capital_e"": 1, ""ambiguity_capital_f"": 1, ""ambiguity_corridor_d"": 1, ""ambiguity_longhaul_a"": 1, ""ambiguity_longhaul_h"": 1, ""ambiguity_midhaul_c"": 1, ""ambiguity_northbound_g"": 1, ""ambiguity_shorthaul_b"": 1}"
C,voi,8,0,8,1.0,1.0,1.0,1.0,8,1.0,8,1.0,8,0.375,8,0.875,8,0.875,8,1.0,8,1.0,8,1.0,8,0.375,8,1.0,8,1.0,8,1.0,8,0.375,8,1.0,8,,0,,0,1.0,8,283353874.305351,8,1.0,1.0,1.125,0.125,0.0625,0.121369,0.261995,0.893498,2.5,2.5,0.587536,0.838645,0.684809,0.261995,0.477466,0.131682,0.1825,0.399693,0.402663,0.268695,0.0067,0.25,1.0,0.625,0.077083,0.788388,0.352369,1.0,0.0,0.2,1.0,0.0,0.027778,0.125,1.0,2304.638,0.0,0.022222,1.0,0.0,1.0,,,,,,,0.0,8,0.2,5,0.625,0.130952,7,0.001429,7,0.130952,7,0.061224,7,0.125,8,0.125,8,0.125,8,0.125,8,1.0,1,1.0,1,1.0,1,,0.114583,8,0.114583,8,0.125,8,1.773691,1.0,2,2,0.0,0.875,0.875,0.0,0.0,0.0,0.0,0.046379,,,36,0,36,191.926599,,3242.0245,3749.3322,3780.9491,1900.8725,2608.9346,2678.2983,2018.563,1849.030875,724.3875,554.45125,0.19125,0.0,0.0,0.0,0.0,0.0,7.27625,66.5875,0.2575,140.27125,117.06375,4.87722,6.67405,3.081857,4.153927,2403.482125,2573.418375,1124.643375,1294.579625,,55109.9825,,440879.86,260.661499,452.159604,1732.171125,4222.292969,0.977495,2.5e-05,0.175521,0.0,0.0,0.0,1.25,1.0,0.211612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028244,0.125,1.5,53.125,0.0,46.25,0.787648,80.125,6.875,0.195964,21.705182,,,217529.19,222000.0,0.0,440879.86,16771.526855,25366.411621,17668.449218,25463.996875,0.0,1.0,0.125,0.125,,1.0,0.3,1.0,1.0,0.25,0.5,210.09875,0.375,1.5,1.25,0.375,0.0,0.0,0.0,2.75,114.24375,1.0,0.0,0.619756,0.235282,0.358839,0.513285,0.860276,0.587662,0.387894,0.5,0.75,0.125,0.125,0.125,0.211612,0.638609,0.14875,0.25,0.375,0.0,1.125,0.046383,353.42125,4.61625,5.922,8427406.060516,,,3.0,3.0,1.125,3.0,1.0,8,1.75,1.75,1.5,0.25,0.0,0.625,0.0,4.5,0.25,0.875,0.125,1849.030875,0.487389,0.455755,8,0,1.0,1278.83875,0.410453,3127.869625,8,{},"{""ambiguity"": 8}","{""ambiguity_capital_e"": 1, ""ambiguity_capital_f"": 1, ""ambiguity_corridor_d"": 1, ""ambiguity_longhaul_a"": 1, ""ambiguity_longhaul_h"": 1, ""ambiguity_midhaul_c"": 1, ""ambiguity_northbound_g"": 1, ""ambiguity_shorthaul_b"": 1}"
