pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.752,-1.2577,52.2053,0.1218,,route_0,161.96,9721.9,168.98,248.644,59.97,False
0,51.752,-1.2577,52.2053,0.1218,,route_2,132.285,9823.07,148.68,212.739,48.48,True
0,51.752,-1.2577,52.2053,0.1218,,route_1,163.075,9793.96,170.59,251.104,59.94,False
0,51.752,-1.2577,52.2053,0.1218,,route_3,161.437,9893.48,169.47,248.682,58.74,False
0,51.752,-1.2577,52.2053,0.1218,,route_4,138.961,9981.79,154.24,221.694,50.12,False
0,51.752,-1.2577,52.2053,0.1218,,route_5,165.357,10385.67,176.06,257.847,57.32,False
