route_id,selected,distance_km,duration_s,monetary_cost,emissions_kg
route_0,False,161.96,9721.9,168.98,248.644
route_2,True,132.285,9823.07,148.68,212.739
route_1,False,163.075,9793.96,170.59,251.104
route_3,False,161.437,9893.48,169.47,248.682
route_4,False,138.961,9981.79,154.24,221.694
route_5,False,165.357,10385.67,176.06,257.847
