pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,52.4862,-1.8904,,route_0,188.75,12676.11,189.9,271.1,53.6,True
0,51.5074,-0.1278,52.4862,-1.8904,,route_1,191.433,13070.24,195.07,278.26,52.73,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_2,201.456,14012.27,207.97,296.288,51.76,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_3,204.417,14387.38,213.01,303.294,51.15,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_4,211.151,14912.88,220.62,314.071,50.97,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_5,220.244,15582.58,228.92,325.382,50.88,False
