pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,52.4862,-1.8904,,route_0,188.75,9825.83,193.73,267.526,69.15,True
0,51.5074,-0.1278,52.4862,-1.8904,,route_6,243.222,12950.33,243.23,333.216,67.61,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_5,232.647,12594.71,234.59,320.913,66.5,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_2,201.456,10855.13,205.04,281.162,66.81,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_4,215.925,12204.37,216.75,294.04,63.69,False
