pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,53.4808,-2.2426,,route_0,320.716,21215.18,319.72,457.042,54.42,True
0,51.5074,-0.1278,53.4808,-2.2426,,route_1,348.909,24128.87,359.04,511.81,52.06,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_2,353.893,24622.52,363.78,517.724,51.74,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_3,351.369,24831.01,365.04,518.935,50.94,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_4,343.071,24860.79,361.99,513.478,49.68,False
0,51.5074,-0.1278,53.4808,-2.2426,,route_5,364.75,25378.77,375.36,534.332,51.74,False
