pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,52.4862,-1.8904,51.4545,-2.5879,,route_0,141.805,9385.41,143.07,205.029,54.39,True
0,52.4862,-1.8904,51.4545,-2.5879,,route_1,150.622,11006.14,161.69,229.817,49.27,False
0,52.4862,-1.8904,51.4545,-2.5879,,route_2,152.317,11472.36,165.32,233.944,47.8,False
0,52.4862,-1.8904,51.4545,-2.5879,,route_3,151.654,11697.51,167.77,237.153,46.67,False
0,52.4862,-1.8904,51.4545,-2.5879,,route_4,145.766,13417.33,180.73,251.583,39.11,False
