pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,52.4862,-1.8904,,route_0,188.75,12676.11,189.9,271.1,53.6,True
0,51.5074,-0.1278,52.4862,-1.8904,,route_1,201.456,14012.27,207.97,296.288,51.76,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_2,211.151,14912.88,220.62,314.071,50.97,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_3,215.925,15717.2,228.06,323.235,49.46,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_4,232.647,16250.95,240.71,342.777,51.54,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_5,243.222,16703.91,249.9,356.661,52.42,False
