route_id,selected,distance_km,duration_s,monetary_cost,emissions_kg
route_0,True,89.64,6899.31,98.99,139.938
route_1,False,92.532,7640.08,106.39,149.325
route_2,False,102.748,8123.71,115.4,162.751
route_3,False,166.025,12218.74,178.22,252.905
route_4,False,165.44,13906.7,193.08,270.809
