pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5842,-2.9977,51.4545,-2.5879,,route_0,49.88,3511.58,51.85,73.789,51.14,True
0,51.5842,-2.9977,51.4545,-2.5879,,route_1,53.646,3934.9,57.33,81.335,49.08,False
0,51.5842,-2.9977,51.4545,-2.5879,,route_2,50.716,4031.04,57.17,80.591,45.29,False
0,51.5842,-2.9977,51.4545,-2.5879,,route_3,57.351,4587.2,64.3,90.387,45.01,False
0,51.5842,-2.9977,51.4545,-2.5879,,route_4,70.55,5618.0,80.16,113.162,45.21,False
0,51.5842,-2.9977,51.4545,-2.5879,,route_5,136.621,11843.04,162.57,227.385,41.53,False
