pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,51.4545,-2.5879,,route_0,190.021,12775.94,191.65,273.692,53.54,True
0,51.5074,-0.1278,51.4545,-2.5879,,route_1,211.525,15124.46,221.6,314.778,50.35,False
0,51.5074,-0.1278,51.4545,-2.5879,,route_2,234.553,16868.16,247.23,351.209,50.06,False
0,51.5074,-0.1278,51.4545,-2.5879,,route_3,242.574,17656.56,254.56,360.259,49.46,False
0,51.5074,-0.1278,51.4545,-2.5879,,route_4,239.497,17691.36,255.84,362.326,48.74,False
0,51.5074,-0.1278,51.4545,-2.5879,,route_5,224.994,17839.83,252.22,355.311,45.4,False
