pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.752,-1.2577,52.2053,0.1218,,route_0,161.96,11026.93,164.89,235.314,52.88,False
0,51.752,-1.2577,52.2053,0.1218,,route_2,132.285,11137.66,154.69,216.976,42.76,True
0,51.752,-1.2577,52.2053,0.1218,,route_1,163.075,11106.4,166.33,237.439,52.86,False
0,51.752,-1.2577,52.2053,0.1218,,route_3,161.437,11210.5,166.71,237.602,51.84,False
0,51.752,-1.2577,52.2053,0.1218,,route_4,138.961,11317.4,158.26,222.351,44.2,False
0,51.752,-1.2577,52.2053,0.1218,,route_5,165.357,11772.71,173.52,246.826,50.56,False
