pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.752,-1.2577,52.2053,0.1218,,route_0,161.96,10796.6,161.36,234.368,52.88,False
0,51.752,-1.2577,52.2053,0.1218,,route_2,132.285,10903.43,151.48,216.115,42.76,True
0,51.752,-1.2577,52.2053,0.1218,,route_1,163.075,10890.02,162.77,236.624,52.86,False
0,51.752,-1.2577,52.2053,0.1218,,route_3,161.437,10976.53,163.16,236.651,51.84,False
0,51.752,-1.2577,52.2053,0.1218,,route_4,138.961,11078.86,154.96,221.459,44.2,False
0,51.752,-1.2577,52.2053,0.1218,,route_5,165.357,11543.19,169.83,245.979,50.56,False
