"od_id","origin_lat","origin_lon","destination_lat","destination_lon","straight_line_km","distance_bin","profile_id","corpus_group","weight_time","weight_money","weight_co2","scenario_mode","weather_profile","weather_intensity","departure_time_utc","stochastic_enabled","stochastic_samples","search_budget","evidence_budget","world_count","certificate_threshold","tau_stop","max_alternatives","optimization_mode","ambiguity_index","candidate_probe_path_count","candidate_probe_corridor_family_count","candidate_probe_objective_spread","candidate_probe_nominal_margin","ambiguity_prior_source","ambiguity_prior_sample_count","origin_region_bucket","destination_region_bucket","corridor_bucket","od_ambiguity_index","candidate_probe_family_diversity","candidate_probe_engine_disagreement_prior","hard_case_prior","ambiguity_prior_nonzero","candidate_probe_toll_disagreement_rate","ambiguity_prior_support_count","trip_length_bin","seed","corpus_kind","row_overrides","od_ambiguity_source_count","od_ambiguity_source_mix","od_ambiguity_confidence","od_ambiguity_support_ratio","od_ambiguity_source_mix_count","od_ambiguity_source_entropy","od_ambiguity_prior_strength","od_ambiguity_family_density","od_ambiguity_margin_pressure","od_ambiguity_spread_pressure","od_ambiguity_toll_instability","ambiguity_budget_prior","ambiguity_budget_prior_gap","budget_prior_exceeds_raw","candidate_probe_path_sufficiency","candidate_probe_top2_gap_pressure","od_ambiguity_source_support","od_ambiguity_source_support_strength"
"birmingham_manchester","52.4862","-1.8904","53.4808","-2.2426","113.079448","100-250 km","representative_northbound_d","representative","1.02","1.00","1.03","no_sharing","clear","1.0","2026-03-21T10:30:00Z","true","36","4","2","60","0.80","0.018","8","robust","0.02","10","3","0.0","1.0","routing_graph_probe,historical_results_bootstrap","12","midlands","midlands","midlands_to_midlands|north_south","0.02","0.39","0.357128","0.370399","True","","3","","","","","2","{""historical_results_bootstrap"":12,""routing_graph_probe"":3}","0.864","0.438187","2","0.721928","0.02","0.3","0.0","0.0","0.0","0.370399","0.350399","True","1.0","1.0","{""historical_results_bootstrap"":0.8875,""routing_graph_probe"":0.5526}","0.72005"
"cardiff_bristol","51.4816","-3.1791","51.4545","-2.5879","41.062429","30-100 km","ambiguity_shorthaul_b","ambiguity","1.10","1.00","1.40","partial_sharing","clear","1.0","2026-03-21T09:30:00Z","true","56","5","3","80","0.80","0.020","8","robust","0.420932","10","3","0.5","0.010454","routing_graph_probe,historical_results_bootstrap","8","south","south","south_to_south|east_west","0.420932","0.39","0.701919","0.692693","True","","4","","","","","2","{""historical_results_bootstrap"":8,""routing_graph_probe"":3}","0.914","0.587187","2","0.845351","0.420932","0.3","0.989546","0.5","0.0","0.701919","0.280987","True","1.0","1.0","{""historical_results_bootstrap"":1.0,""routing_graph_probe"":0.721555}","0.860777"
"london_birmingham","51.5074","-0.1278","52.4862","-1.8904","162.495841","100-250 km","representative_capital_e","representative","1.00","1.00","1.00","no_sharing","clear","1.0","2026-03-21T12:00:00Z","false","24","4","2","64","0.80","0.020","8","expected_value","0.026667","14","11","0.0","0.978696","routing_graph_probe,historical_results_bootstrap","12","south","midlands","south_to_midlands|east_west","0.026667","0.882143","0.44826","0.483837","True","","3","","","","","2","{""historical_results_bootstrap"":12,""routing_graph_probe"":11}","0.864","0.496472","2","0.998636","0.026667","0.785714","0.021304","0.0","0.0","0.483837","0.45717","True","1.0","1.0","{""historical_results_bootstrap"":0.8875,""routing_graph_probe"":0.722059}","0.804779"
"london_manchester_ambiguity","51.5074","-0.1278","53.4808","-2.2426","261.982808","250+ km","ambiguity_longhaul_h","ambiguity","1.30","1.15","1.40","no_sharing","clear","1.0","2026-03-21T20:00:00Z","true","96","7","3","104","0.85","0.010","12","robust","0.32","14","1","0.32","1.0","routing_graph_probe,repo_local_geometry_backfill,historical_results_bootstrap","4","south","midlands","south_to_midlands|diagonal","0.32","0.039286","0.370435","0.363736","True","0.0","4","","","","","3","{""historical_results_bootstrap"":4,""repo_local_geometry_backfill"":4,""routing_graph_probe"":1}","0.910497","0.818061","3","0.878347","0.32","0.071429","0.0","0.32","0.0","0.370435","0.050435","True","1.0","1.0","{""historical_results_bootstrap"":0.852868,""repo_local_geometry_backfill"":0.480614,""routing_graph_probe"":0.478157}","0.60388"
